POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,3,Mike Atkins,,New York,MLB,MLB,10/20/2014,23,USA,6' 6',210 lbs,Left,Left,5.0 Stars,5.0 Stars,81,74,100,95,56,77,58,54,76,58,47,50,81,91,100,100,59,89,50,4,Line Drive,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,4,4,12,8,40,3,69,59,59,64,50,52,67,635,547,.316,.403,.653,144.1,.436,1.056,.301,4.74,138,8.8,67.2,-2.6,0.1,-2.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,44,Matt Bruns,,Toronto,MLB,MLB,10/24/2007,30,USA,6' 1',205 lbs,Right,Right,5.0 Stars,5.0 Stars,50,50,74,73,65,51,55,61,88,87,77,66,48,47,69,69,61,47,30,8,Line Drive,Pull,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,72,72,58,6,4,39,33,43,35,41,44,38,36,44,519,454,.308,.382,.568,98.1,.398,.950,.337,4.19,97,6.8,38.1,-1.8,-1.9,-3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,46,Greg Chavarria,,St. Louis,MLB,MLB,03/03/2011,27,VEN,5' 9',185 lbs,Right,Right,5.0 Stars,5.0 Stars,74,70,61,78,70,69,83,96,71,100,83,98,66,66,58,68,66,61,47,8,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,5,66,63,63,29,26,54,20,26,35,44,27,19,26,34,542,466,.283,.367,.483,85.4,.358,.850,.312,2.93,84,4.1,22.2,-1.6,-4.2,-5.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,83,Lorenzo Garcia,,Cleveland,MLB,MLB,01/18/2012,26,DOM,6' 5',200 lbs,Left,Left,5.0 Stars,5.0 Stars,84,73,46,98,91,83,60,59,42,66,74,57,78,91,47,100,97,93,25,5,Line Drive,Spray,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,10,2,4,1,31,18,36,7,10,30,22,5,8,3,2,648,544,.344,.441,.627,153.8,.441,1.068,.354,8.13,144,7.9,68.4,-2.2,-0.8,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,48,Koen Gaskell,,New York,MLB,MLB,05/15/2014,24,ARU,6' 3',200 lbs,Right,Right,5.0 Stars,5.0 Stars,94,88,100,69,60,88,100,100,100,100,72,100,82,84,100,60,57,75,70,11,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,1,2,69,52,53,51,54,34,34,74,50,46,73,613,540,.294,.375,.481,99.5,.365,.857,.317,3.50,98,3.8,27.1,-1.7,-2.4,-4.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,29,Jacob Lombard,,Chicago,MLB,MLB,09/27/2007,30,USA,6' 2',205 lbs,Right,Right,5.0 Stars,5.0 Stars,83,84,89,56,73,68,97,94,100,61,89,78,80,77,81,55,68,65,60,60,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,88-90,88-90,OTT,Normal,4,1,1,-,4,81,74,70,71,52,47,58,78,67,78,100,650,552,.312,.412,.522,130.0,.402,.934,.359,3.66,124,9.0,46.4,2.8,1.6,4.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,8,Greg Mancillas,,Washington,MLB,MLB,10/20/2012,25,DOM,6' 2',200 lbs,Right,Right,5.0 Stars,5.0 Stars,95,87,76,89,68,91,100,100,88,100,94,100,83,87,72,79,61,81,82,78,Line Drive,Pull,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,4,3,1,31,22,21,17,82,49,50,84,79,82,100,642,550,.320,.411,.573,133.3,.407,.984,.313,6.31,125,10.1,51.5,3.1,3.3,6.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,21,Teruhiko Nagata,,Cincinnati,MLB,MLB,03/23/2009,29,BRA,6' 2',195 lbs,Right,Right,5.0 Stars,5.0 Stars,64,55,51,76,70,75,65,97,60,100,88,100,52,57,49,62,63,61,20,3,Flyball,Normal,Normal,1,4,1,12,1,1,4,1,12,1,1,4,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,4,57,57,54,28,6,57,13,22,21,36,2,18,2,32,549,465,.295,.393,.527,94.9,.388,.920,.306,2.65,98,4.7,28.0,0.0,-3.2,-3.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,30,Bobby Rangel,,San Diego,MLB,MLB,04/21/2011,27,DOM,6' 1',195 lbs,Right,Right,5.0 Stars,5.0 Stars,91,81,81,61,88,88,92,100,92,79,100,100,77,85,77,57,85,81,54,5,Line Drive,Normal,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,4,1,1,1,64,69,61,61,43,29,56,84,54,68,92,630,535,.307,.403,.583,135.1,.410,.986,.301,4.31,124,7.6,54.2,4.4,-1.6,2.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,28,Bronson Smith,,Tampa Bay,MLB,MLB,03/26/2012,26,USA,6' 1',200 lbs,Right,Right,5.0 Stars,5.0 Stars,88,88,57,79,91,76,100,100,63,100,100,100,84,82,55,70,87,68,17,4,Line Drive,Pull,Normal,1,3,1,15,1,1,3,1,15,1,1,3,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,3/4,Normal,1,2,1,4,3,46,35,37,26,25,20,33,49,19,19,36,655,543,.311,.429,.576,134.3,.422,1.005,.328,4.24,135,7.7,65.3,-2.8,0.2,-2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
